INCIDENT_ID,DATA_YEAR,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
864279,2020,City,AK,Alaska,Pacific,West,1C,"Cities from 250,000 thru 499,999",24-Jan-20,,,0,0,0,Unknown,Unknown,2,Arson;Burglary/Breaking & Entering,,Church/Synagogue/Temple/Mosque,Anti-Other Christian,Religious Organization,M,S
1054279,2020,City,AK,Alaska,Pacific,West,1C,"Cities from 250,000 thru 499,999",01-Jun-20,1,0,1,1,0,Unknown,Unknown,1,Sexual Assault With An Object,1,Park/Playground,Anti-Female,Individual,S,S
1054280,2020,City,AK,Alaska,Pacific,West,1C,"Cities from 250,000 thru 499,999",21-Jun-20,1,0,1,1,0,American Indian or Alaska Native,Not Hispanic or Latino,1,Aggravated Assault,1,Hotel/Motel/Etc.,Anti-Black or African American,Individual,S,S
1225414,2020,City,AK,Alaska,Pacific,West,1C,"Cities from 250,000 thru 499,999",22-Sep-20,1,0,1,1,0,Unknown,Hispanic or Latino,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
1225415,2020,City,AK,Alaska,Pacific,West,1C,"Cities from 250,000 thru 499,999",17-Jul-20,1,0,1,1,0,White,Unknown,1,Aggravated Assault,1,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
1274165,2020,City,AK,Alaska,Pacific,West,1C,"Cities from 250,000 thru 499,999",16-Oct-20,1,0,0,0,0,Unknown,Unknown,1,Robbery,1,Field/Woods,Anti-Gay (Male),Individual,S,S
893434,2020,City,AK,Alaska,Pacific,West,4,"Cities from 25,000 thru 49,999",03-Jan-20,1,0,1,1,0,White,Not Hispanic or Latino,1,Aggravated Assault,1,Government/Public Building,Anti-Transgender,Individual,S,S
1052479,2020,City,AK,Alaska,Pacific,West,4,"Cities from 25,000 thru 49,999",04-May-20,1,0,0,0,0,Unknown,Unknown,1,Aggravated Assault,1,Parking/Drop Lot/Garage,Anti-American Indian or Alaska Native,Individual,S,S
1218466,2020,City,AK,Alaska,Pacific,West,4,"Cities from 25,000 thru 49,999",14-Aug-20,2,0,1,1,0,White,Not Hispanic or Latino,2,Simple Assault,2,Highway/Road/Alley/Street/Sidewalk,"Anti-Multiple Races, Group",Individual,S,S
1162372,2020,City,AK,Alaska,Pacific,West,7,"Cities under 2,500",01-Jun-20,0,1,3,0,3,White,Unknown,1,Aggravated Assault,1,Parking/Drop Lot/Garage,Anti-Male,Individual,S,S
924792,2020,City,AL,Alabama,East South Central,South,2,"Cities from 100,000 thru 249,999",01-Jun-20,2,0,1,1,0,White,Not Hispanic or Latino,2,Intimidation,2,Park/Playground,Anti-Black or African American,Individual,S,S
924794,2020,City,AL,Alabama,East South Central,South,2,"Cities from 100,000 thru 249,999",12-Mar-20,1,0,2,2,0,White,Not Hispanic or Latino,1,Intimidation,1,Commercial/Office Building,Anti-Islamic (Muslim),Individual,S,S
1321049,2020,City,AL,Alabama,East South Central,South,3,"Cities from 50,000 thru 99,999",03-Jun-20,1,0,0,,,Unknown,Unknown,1,Impersonation,1,Other/Unknown,Anti-Sikh,Individual,S,S
924793,2020,City,AL,Alabama,East South Central,South,2,"Cities from 100,000 thru 249,999",04-Jun-20,0,1,2,0,2,Unknown,Not Hispanic or Latino,1,Simple Assault,1,Other/Unknown,Anti-Islamic (Muslim),Individual,S,S
